"community"	"day"	"replicate"	"species"	"p_cells_mL"	"p_total_rep"	"rt_reps_ind_mL"	"rt_mean_ind_mL"	"rt_log_reps"	"rt_log_mean"	"rt_gr"	"rt_mean_gr"	"g_mean_rep"	"i_mean_rep"	"g_CWM"	"i_CWM"	"g_CWV"	"i_CWV"	"H_max"	"H"	"E"	"H_mean"	"E_mean"	"area_d0"	"area_d20"
"1"	"Community 1"	0	1	"C. reinhardtii"	5000	25000	0.5	0.5	-0.693147180559945	-0.693147180559945	NA	NA	0.620725215466139	0.303991984536447	0.725216803457871	0.532461546432272	0.0205239048688197	0.0556501116422706	1.6094379124341	1.6094379124341	1	1.6094379124341	1	0.145894143237672	0.0879172179539942
"2"	"Community 1"	0	1	"B. texensis"	5000	25000	0.5	0.5	-0.693147180559945	-0.693147180559945	NA	NA	0.751173011401012	0.885444467255187	0.725216803457871	0.532461546432272	0.0205239048688197	0.0556501116422706	1.6094379124341	1.6094379124341	1	1.6094379124341	1	0.145894143237672	0.0879172179539942
"3"	"Community 1"	0	1	"C. vulgaris"	5000	25000	0.5	0.5	-0.693147180559945	-0.693147180559945	NA	NA	0.94801967938519	0.706235723967921	0.725216803457871	0.532461546432272	0.0205239048688197	0.0556501116422706	1.6094379124341	1.6094379124341	1	1.6094379124341	1	0.145894143237672	0.0879172179539942
"4"	"Community 1"	0	1	"M. minutum"	5000	25000	0.5	0.5	-0.693147180559945	-0.693147180559945	NA	NA	0.777532897154121	0.267648090942784	0.725216803457871	0.532461546432272	0.0205239048688197	0.0556501116422706	1.6094379124341	1.6094379124341	1	1.6094379124341	1	0.145894143237672	0.0879172179539942
"5"	"Community 1"	0	1	"A. obliquus"	5000	25000	0.5	0.5	-0.693147180559945	-0.693147180559945	NA	NA	0.528633213882892	0.498987465459019	0.725216803457871	0.532461546432272	0.0205239048688197	0.0556501116422706	1.6094379124341	1.6094379124341	1	1.6094379124341	1	0.145894143237672	0.0879172179539942
"6"	"Community 1"	0	2	"C. reinhardtii"	5000	25000	0.5	0.5	-0.693147180559945	-0.693147180559945	NA	NA	0.620725215466139	0.303991984536447	0.725216803457871	0.532461546432272	0.0205239048688197	0.0556501116422706	1.6094379124341	1.6094379124341	1	1.6094379124341	1	0.145894143237672	0.0879172179539942
"7"	"Community 1"	0	2	"B. texensis"	5000	25000	0.5	0.5	-0.693147180559945	-0.693147180559945	NA	NA	0.751173011401012	0.885444467255187	0.725216803457871	0.532461546432272	0.0205239048688197	0.0556501116422706	1.6094379124341	1.6094379124341	1	1.6094379124341	1	0.145894143237672	0.0879172179539942
"8"	"Community 1"	0	2	"C. vulgaris"	5000	25000	0.5	0.5	-0.693147180559945	-0.693147180559945	NA	NA	0.94801967938519	0.706235723967921	0.725216803457871	0.532461546432272	0.0205239048688197	0.0556501116422706	1.6094379124341	1.6094379124341	1	1.6094379124341	1	0.145894143237672	0.0879172179539942
"9"	"Community 1"	0	2	"M. minutum"	5000	25000	0.5	0.5	-0.693147180559945	-0.693147180559945	NA	NA	0.777532897154121	0.267648090942784	0.725216803457871	0.532461546432272	0.0205239048688197	0.0556501116422706	1.6094379124341	1.6094379124341	1	1.6094379124341	1	0.145894143237672	0.0879172179539942
"10"	"Community 1"	0	2	"A. obliquus"	5000	25000	0.5	0.5	-0.693147180559945	-0.693147180559945	NA	NA	0.528633213882892	0.498987465459019	0.725216803457871	0.532461546432272	0.0205239048688197	0.0556501116422706	1.6094379124341	1.6094379124341	1	1.6094379124341	1	0.145894143237672	0.0879172179539942
"11"	"Community 1"	0	3	"C. reinhardtii"	5000	25000	0.5	0.5	-0.693147180559945	-0.693147180559945	NA	NA	0.620725215466139	0.303991984536447	0.725216803457871	0.532461546432272	0.0205239048688197	0.0556501116422706	1.6094379124341	1.6094379124341	1	1.6094379124341	1	0.145894143237672	0.0879172179539942
"12"	"Community 1"	0	3	"B. texensis"	5000	25000	0.5	0.5	-0.693147180559945	-0.693147180559945	NA	NA	0.751173011401012	0.885444467255187	0.725216803457871	0.532461546432272	0.0205239048688197	0.0556501116422706	1.6094379124341	1.6094379124341	1	1.6094379124341	1	0.145894143237672	0.0879172179539942
"13"	"Community 1"	0	3	"C. vulgaris"	5000	25000	0.5	0.5	-0.693147180559945	-0.693147180559945	NA	NA	0.94801967938519	0.706235723967921	0.725216803457871	0.532461546432272	0.0205239048688197	0.0556501116422706	1.6094379124341	1.6094379124341	1	1.6094379124341	1	0.145894143237672	0.0879172179539942
"14"	"Community 1"	0	3	"M. minutum"	5000	25000	0.5	0.5	-0.693147180559945	-0.693147180559945	NA	NA	0.777532897154121	0.267648090942784	0.725216803457871	0.532461546432272	0.0205239048688197	0.0556501116422706	1.6094379124341	1.6094379124341	1	1.6094379124341	1	0.145894143237672	0.0879172179539942
"15"	"Community 1"	0	3	"A. obliquus"	5000	25000	0.5	0.5	-0.693147180559945	-0.693147180559945	NA	NA	0.528633213882892	0.498987465459019	0.725216803457871	0.532461546432272	0.0205239048688197	0.0556501116422706	1.6094379124341	1.6094379124341	1	1.6094379124341	1	0.145894143237672	0.0879172179539942
"16"	"Community 1"	0	4	"C. reinhardtii"	5000	25000	0.5	0.5	-0.693147180559945	-0.693147180559945	NA	NA	0.620725215466139	0.303991984536447	0.725216803457871	0.532461546432272	0.0205239048688197	0.0556501116422706	1.6094379124341	1.6094379124341	1	1.6094379124341	1	0.145894143237672	0.0879172179539942
"17"	"Community 1"	0	4	"B. texensis"	5000	25000	0.5	0.5	-0.693147180559945	-0.693147180559945	NA	NA	0.751173011401012	0.885444467255187	0.725216803457871	0.532461546432272	0.0205239048688197	0.0556501116422706	1.6094379124341	1.6094379124341	1	1.6094379124341	1	0.145894143237672	0.0879172179539942
"18"	"Community 1"	0	4	"C. vulgaris"	5000	25000	0.5	0.5	-0.693147180559945	-0.693147180559945	NA	NA	0.94801967938519	0.706235723967921	0.725216803457871	0.532461546432272	0.0205239048688197	0.0556501116422706	1.6094379124341	1.6094379124341	1	1.6094379124341	1	0.145894143237672	0.0879172179539942
"19"	"Community 1"	0	4	"M. minutum"	5000	25000	0.5	0.5	-0.693147180559945	-0.693147180559945	NA	NA	0.777532897154121	0.267648090942784	0.725216803457871	0.532461546432272	0.0205239048688197	0.0556501116422706	1.6094379124341	1.6094379124341	1	1.6094379124341	1	0.145894143237672	0.0879172179539942
"20"	"Community 1"	0	4	"A. obliquus"	5000	25000	0.5	0.5	-0.693147180559945	-0.693147180559945	NA	NA	0.528633213882892	0.498987465459019	0.725216803457871	0.532461546432272	0.0205239048688197	0.0556501116422706	1.6094379124341	1.6094379124341	1	1.6094379124341	1	0.145894143237672	0.0879172179539942
